text|gram|dataset|0th common|0th common #|0th common %|1th common|1th common #|1th common %|2th common|2th common #|2th common %|3th common|3th common #|3th common %|4th common|4th common #|4th common %|5th common|5th common #|5th common %|6th common|6th common #|6th common %|7th common|7th common #|7th common %|8th common|8th common #|8th common %|9th common|9th common #|9th common %|hapax #|hapax %|max|mean|median|min|std|sum
finnegans-wake.txt|1-gram|t_lower_s_|u'.',)|24|0.00166262556287|u'mutt.',)|16|0.00110841704191|u'tip.',)|16|0.00110841704191|u'jute.',)|15|0.00103914097679|u'.&#160;.&#160;.',)|13|0.000900588846554|u'why?',)|9|0.000623484586076|u'hide!',)|8|0.000554208520956|u'stop.',)|8|0.000554208520956|u'so.',)|8|0.000554208520956|u'ah ho!',)|7|0.000484932455837|13890|0.96224454451|24|1.02579590677|1.0|1|0.383317933676|14435|
finnegans-wake.txt|1-gram|t_lower_s_lengths|2,)|1528|0.105853827503|4,)|1129|0.0782126775199|3,)|1048|0.0726013162452|5,)|1031|0.0714236231382|6,)|940|0.0651195012123|8,)|804|0.0556979563561|7,)|784|0.0543124350537|9,)|625|0.0432975406997|10,)|540|0.0374090751645|12,)|444|0.0307585729131|76|0.00526498094908|1528|55.9496124031|4.0|1|185.284929805|14435|
finnegans-wake.txt|1-gram|t_lower_w_stop|u',',)|19433|0.109207287604|u'.',)|8430|0.0473739224259|u'!',)|4716|0.0265024220831|u'>',)|3411|0.019168736583|u'<',)|3411|0.019168736583|u"''",)|2774|0.0155889989098|u'?',)|1512|0.00849695975183|u')',)|1335|0.00750227597136|u'(',)|1320|0.00741798073573|u'\u2014',)|1260|0.0070807997932|47945|0.269435671496|19433|2.98627240384|1.0|1|93.0809936001|177946|
finnegans-wake.txt|1-gram|t_raw_w_pos|(u',', ','),)|19433|0.0705620490699|(u'the', 'DT'),)|11319|0.041099770155|(u'.', '.'),)|8467|0.0307440369204|(u'and', 'CC'),)|7551|0.0274180019825|(u'of', 'IN'),)|7037|0.0255516461331|(u'!', '.'),)|4716|0.0171239964706|(u'a', 'DT'),)|4469|0.016227128971|(u'to', 'TO'),)|4358|0.0158240832525|(u'in', 'IN'),)|3470|0.0125997175049|(u'his', 'PRP$'),)|2871|0.0104247230422|59008|0.214260556348|19433|3.87166294125|1.0|1|108.643440821|275403|
finnegans-wake.txt|1-gram|t_lower_nopunct_w_pos_only|'NN',)|52583|0.227501049179|'IN',)|28379|0.122782121116|'DT',)|20954|0.0906577598179|'JJ',)|19481|0.0842848057179|'NNS',)|15295|0.0661740210182|'CC',)|10514|0.0454889609013|'PRP',)|9523|0.0412013862149|'RB',)|9430|0.0407990204774|'VB',)|8150|0.0352610834455|'PRP$',)|7981|0.0345299026967|2|8.65302661238e-06|52583|6420.36111111|1954.5|1|10256.7919832|231133|
finnegans-wake.txt|1-gram|t_lower_w_|u',',)|19433|0.0705715302543|u'the',)|12017|0.0436401008113|u'and',)|8477|0.0307844831969|u'.',)|8430|0.0306138012681|u'of',)|7108|0.0258129180799|u'a',)|4727|0.0171662441986|u'!',)|4716|0.0171262973642|u'to',)|4472|0.0162402039467|u'in',)|3565|0.0129464058744|u'>',)|3411|0.0123871501928|47945|0.174113725006|19433|4.61133718496|1.0|1|122.93769795|275366|
finnegans-wake.txt|1-gram|t_lower_nopunct_w_pos|(u'the', 'DT'),)|12017|0.0519917104005|(u'and', 'CC'),)|8476|0.0366715267833|(u'of', 'IN'),)|7108|0.0307528565804|(u'a', 'DT'),)|4942|0.0213816287592|(u'to', 'TO'),)|4471|0.019343840992|(u'in', 'IN'),)|3565|0.0154240199366|(u'his', 'PRP$'),)|2952|0.0127718672799|(u'<', 'NNP'),)|2482|0.010738406026|(u'for', 'IN'),)|2424|0.0104874682542|(u'>', 'NNP'),)|2244|0.00970869585909|55942|0.242033807375|12017|3.40738283726|1.0|1|76.623074329|231133|
finnegans-wake.txt|1-gram|t_lower_w_stem|u',',)|19433|0.0705715302543|u'the',)|12017|0.0436401008113|u'and',)|8481|0.0307990093185|u'.',)|8430|0.0306138012681|u'of',)|7110|0.0258201811407|u'a',)|4728|0.017169875729|u'!',)|4716|0.0171262973642|u'to',)|4474|0.0162474670075|u'in',)|3566|0.0129500374048|u'>',)|3411|0.0123871501928|38774|0.140808959712|19433|5.55206968163|1.0|1|135.183520014|275366|
finnegans-wake.txt|1-gram|t_raw_w_lengths|1,)|54589|0.198214979503|3,)|51462|0.186860709578|2,)|38590|0.140121930407|4,)|37703|0.136901195702|5,)|25747|0.0934884514693|6,)|18484|0.0671161897292|7,)|15031|0.054578199947|8,)|10706|0.0388739410972|9,)|8009|0.0290810194515|10,)|5712|0.0207405148092|16|5.80966801378e-05|54589|5737.5625|7.5|1|13246.7272655|275403|
finnegans-wake.txt|1-gram|t_raw_w_stop_stem|u',',)|19433|0.104407766782|u'.',)|8467|0.0454906891031|u'!',)|4716|0.0253376744786|u'>',)|3411|0.0183262950904|u'<',)|3411|0.0183262950904|u"''",)|2774|0.0149038823163|u'i',)|1573|0.00845126419737|u'?',)|1512|0.00812352922214|u')',)|1335|0.00717256052352|u'(',)|1320|0.00709196995584|38763|0.208262144999|19433|3.75420549437|1.0|1|102.659308269|186126|
finnegans-wake.txt|1-gram|t_lower_w_lengths|1,)|54528|0.198020089626|3,)|51467|0.186903975073|2,)|38606|0.140198862605|4,)|37705|0.136926853715|5,)|25748|0.0935046447274|6,)|18483|0.0671215763747|7,)|15032|0.0545891649659|8,)|10706|0.0388791644575|9,)|8009|0.0290849269699|10,)|5712|0.0207433016422|16|5.81044863927e-05|54528|5736.79166667|7.5|1|13243.3561943|275366|
finnegans-wake.txt|1-gram|t_raw_w_|u',',)|19433|0.0705620490699|u'the',)|11319|0.041099770155|u'.',)|8467|0.0307440369204|u'and',)|7551|0.0274180019825|u'of',)|7037|0.0255516461331|u'!',)|4716|0.0171239964706|u'a',)|4469|0.016227128971|u'to',)|4358|0.0158240832525|u'in',)|3470|0.0125997175049|u'>',)|3411|0.0123854859969|51852|0.188276816157|19433|4.31503823013|1.0|1|116.084233776|275403|
finnegans-wake.txt|1-gram|t_raw_w_stem|u',',)|19433|0.0705620490699|u'the',)|12017|0.043634237826|u'and',)|8481|0.0307948715156|u'.',)|8467|0.0307440369204|u'of',)|7110|0.0258167122363|u'a',)|4732|0.0171820931508|u'!',)|4716|0.0171239964706|u'to',)|4474|0.0162452841835|u'in',)|3566|0.0129482975857|u'>',)|3411|0.0123854859969|38761|0.140742838676|19433|5.55415952405|1.0|1|135.250768464|275403|
