text|gram|dataset|0th common|0th common #|0th common %|1th common|1th common #|1th common %|2th common|2th common #|2th common %|3th common|3th common #|3th common %|4th common|4th common #|4th common %|5th common|5th common #|5th common %|6th common|6th common #|6th common %|7th common|7th common #|7th common %|8th common|8th common #|8th common %|9th common|9th common #|9th common %|hapax #|hapax %|max|mean|median|min|std|sum
ulysses.txt|1-gram|t_raw_w_stop|u'.',)|19243|0.0913241359018|u',',)|16333|0.0775137510619|u'I',)|2969|0.0140903892061|u"'s",)|2673|0.0126856215385|u':',)|2564|0.0121683253366|u'?',)|2235|0.0106069450574|u')',)|1788|0.00848555604596|u'(',)|1777|0.0084333518421|u'!',)|1576|0.00747943866243|u'He',)|1254|0.00595127924029|19357|0.0918651612873|19243|6.23239374131|1.0|1|142.748575748|210711|
ulysses.txt|1-gram|t_lower_nopunct_s_lengths|264843,)|1|1.0|1|1.0|1|1.0|1.0|1|0.0|1|
ulysses.txt|1-gram|t_lower_w_stop_stem|u'.',)|19145|0.0976277651426|u',',)|16333|0.0832882887477|u"'s",)|2686|0.0136969536262|u':',)|2564|0.0130748284056|u'?',)|2235|0.011397130065|u')',)|1788|0.00911770405197|u'(',)|1777|0.00906161079438|u'!',)|1576|0.00803663399659|u'said',)|1208|0.00616005956084|u'bloom',)|1006|0.005129983376|10700|0.0545634414743|19145|9.22789515787|1.0|1|178.397249745|196102|
ulysses.txt|1-gram|t_raw_s_lengths|5,)|2142|0.0926470588235|4,)|2018|0.0872837370242|6,)|1918|0.0829584775087|2,)|1708|0.073875432526|3,)|1666|0.0720588235294|7,)|1609|0.0695934256055|8,)|1468|0.0634948096886|9,)|1195|0.0516868512111|10,)|1057|0.0457179930796|11,)|853|0.0368944636678|51|0.00220588235294|2142|129.162011173|5.0|1|378.673178331|23120|
ulysses.txt|1-gram|t_lower_w_pos_only|'NN',)|64542|0.204929067656|'IN',)|32408|0.102899526271|'DT',)|26618|0.0845155390731|'.',)|22956|0.0728882228177|'JJ',)|21725|0.0689796410836|',',)|16333|0.0518593545601|'PRP',)|15623|0.0496050141611|'NNS',)|13653|0.0433500133355|'VBD',)|13106|0.0416132186901|'RB',)|12895|0.040943266825|1|3.17512732261e-06|64542|7324.37209302|2111.0|1|11877.731772|314948|
ulysses.txt|1-gram|t_raw_s_|u'Tap.',)|43|0.0018598615917|u'No.',)|38|0.00164359861592|u'Yes.',)|38|0.00164359861592|u'What?',)|33|0.00142733564014|u'says Joe.',)|27|0.0011678200692|u'Wait.',)|23|0.000994809688581|u'Why?',)|18|0.000778546712803|u'he said.',)|18|0.000778546712803|u'Yes, sir.',)|17|0.000735294117647|u'he asked.',)|14|0.00060553633218|21492|0.929584775087|43|1.05095686168|1.0|1|0.688620213175|23120|
ulysses.txt|1-gram|t_lower_nopunct_s_|u'stately plump buck mulligan came from the stairhead bearing a bowl of lather on which a mirror an|1|1.0|1|1.0|1|1.0|1.0|1|0.0|1|
ulysses.txt|1-gram|t_raw_w_pos_only|'NN',)|46793|0.148527516617|'IN',)|32217|0.102261257086|'DT',)|26439|0.0839210781918|'NNP',)|24528|0.0778552973217|'.',)|23054|0.0731766154784|'PRP',)|18522|0.0587914145871|'JJ',)|17463|0.0554300006983|',',)|16333|0.0518432228944|'VBD',)|13302|0.042222405617|'RB',)|12103|0.0384166121773|0|0.0|46793|7501.0952381|2323.0|4|10303.2431482|315046|
ulysses.txt|1-gram|t_lower_w_pos|(u'.', '.'),)|19145|0.0607878125913|(u',', ','),)|16333|0.0518593545601|(u'the', 'DT'),)|14932|0.0474110011811|(u'of', 'IN'),)|8138|0.0258391861514|(u'and', 'CC'),)|7215|0.0229085436326|(u'a', 'DT'),)|6462|0.0205176727587|(u'to', 'TO'),)|4962|0.0157549817748|(u'in', 'IN'),)|4925|0.0156375020638|(u'he', 'PRP'),)|4221|0.0134022124287|(u'his', 'PRP$'),)|3333|0.0105826993662|22662|0.0719547353849|19145|8.38765346614|1.0|1|178.383855631|314948|
ulysses.txt|1-gram|t_lower_nopunct_w_stop|u'said',)|1208|0.00819872403964|u'bloom',)|933|0.00633229265644|u'like',)|731|0.00496131396769|u'mr',)|719|0.00487986968915|u'one',)|703|0.00477127731777|u'stephen',)|505|0.00342744672187|u'old',)|489|0.00331885435048|u'says',)|473|0.0032102619791|u'see',)|432|0.00293199402742|u'man',)|414|0.00280982760961|16199|0.109942989005|1208|4.96847074692|1.0|1|20.2887314998|147340|
ulysses.txt|1-gram|t_lower_nopunct_w_stem|u'the',)|14932|0.0563805726411|u'of',)|8138|0.0307276386387|u'and',)|7214|0.0272387792013|u'a',)|6496|0.0245277390756|u'to',)|4962|0.0187356282779|u'in',)|4925|0.0185959228675|u'he',)|4031|0.0152203380871|u'his',)|3333|0.0125848143995|u'it',)|2812|0.0106176111885|u'that',)|2797|0.01056097386|10629|0.0401332109967|14932|12.4590958273|1.0|1|161.499799073|264843|
ulysses.txt|1-gram|t_lower_nopunct_w_lengths|3,)|58537|0.221025286679|4,)|47005|0.177482508505|2,)|42253|0.159539802827|5,)|32692|0.123439169621|6,)|23640|0.089260429764|7,)|19768|0.0746404473594|8,)|12167|0.045940425082|1,)|10690|0.0403635361327|9,)|7848|0.0296326502872|10,)|4768|0.0180031188289|9|3.39823971183e-05|58537|7356.75|12.5|1|14764.9358436|264843|
ulysses.txt|1-gram|t_lower_nopunct_w_|u'the',)|14932|0.0563805726411|u'of',)|8138|0.0307276386387|u'and',)|7214|0.0272387792013|u'a',)|6496|0.0245277390756|u'to',)|4962|0.0187356282779|u'in',)|4924|0.0185921470456|u'he',)|4031|0.0152203380871|u'his',)|3333|0.0125848143995|u'i',)|2697|0.0101833916698|u'that',)|2606|0.0098397918767|16199|0.061164538991|14932|8.89272043516|1.0|1|135.563846403|264843|
