text|gram|dataset|0th common|0th common #|0th common %|1th common|1th common #|1th common %|2th common|2th common #|2th common %|3th common|3th common #|3th common %|4th common|4th common #|4th common %|5th common|5th common #|5th common %|6th common|6th common #|6th common %|7th common|7th common #|7th common %|8th common|8th common #|8th common %|9th common|9th common #|9th common %|hapax #|hapax %|max|mean|median|min|std|sum
02 - nestor.txt|1-gram|t_lower_s_|u'yes, sir.',)|5|0.00992063492063|u'stephen asked.',)|3|0.00595238095238|u'see.',)|2|0.00396825396825|u'well?',)|2|0.00396825396825|u'day!...',)|2|0.00396825396825|u'mr deasy asked.',)|2|0.00396825396825|u'i paid my way.',)|2|0.00396825396825|u'what, sir?',)|2|0.00396825396825|u'fair rebel!',)|2|0.00396825396825|u'what is it now?',)|2|0.00396825396825|478|0.948412698413|5|1.03067484663|1.0|1|0.241585921074|504|
02 - nestor.txt|1-gram|t_lower_s_lengths|5,)|48|0.0952380952381|7,)|44|0.0873015873016|6,)|44|0.0873015873016|4,)|37|0.0734126984127|9,)|32|0.0634920634921|8,)|32|0.0634920634921|12,)|30|0.0595238095238|3,)|27|0.0535714285714|10,)|23|0.0456349206349|2,)|22|0.0436507936508|10|0.0198412698413|48|13.2631578947|7.0|1|13.9900043462|504|
02 - nestor.txt|1-gram|t_lower_w_stop|u'.',)|439|0.131162234837|u',',)|339|0.101284732596|u'said',)|64|0.0191216014341|u'?',)|52|0.0155363011652|u':',)|48|0.0143412010756|u"'s",)|46|0.0137436510308|u'stephen',)|44|0.013146100986|u'mr',)|40|0.0119510008963|u'sir',)|40|0.0119510008963|u'deasy',)|35|0.0104571257843|996|0.297579922318|439|2.39071428571|1.0|1|15.1961291896|3347|
02 - nestor.txt|1-gram|t_raw_w_pos|(u'.', '.'),)|440|0.0819061801936|(u',', ','),)|339|0.063104988831|(u'the', 'DT'),)|245|0.0456068503351|(u'of', 'IN'),)|127|0.0236411020104|(u'and', 'CC'),)|107|0.0199180938198|(u'a', 'DT'),)|82|0.0152643335815|(u'his', 'PRP$'),)|75|0.0139612807148|(u'to', 'TO'),)|66|0.012285927029|(u'in', 'IN'),)|64|0.01191362621|(u'said', 'VBD'),)|64|0.01191362621|1215|0.22617274758|440|3.11600928074|1.0|1|16.0414341358|5372|
02 - nestor.txt|1-gram|t_lower_nopunct_w_pos_only|'NN',)|895|0.203224341508|'IN',)|499|0.113306085377|'DT',)|464|0.105358764759|'JJ',)|324|0.0735694822888|'NNS',)|303|0.0688010899183|'VBD',)|296|0.0672116257947|'PRP',)|250|0.0567665758401|'RB',)|218|0.0495004541326|'VB',)|159|0.0361035422343|'PRP$',)|158|0.035876475931|3|0.000681198910082|895|146.8|78.5|1|194.969809629|4404|
02 - nestor.txt|1-gram|t_lower_w_|u'.',)|439|0.0817352448334|u',',)|339|0.0631167380376|u'the',)|267|0.0497114131447|u'of',)|128|0.0238316886986|u'and',)|121|0.0225283932229|u'a',)|113|0.0210389126792|u'his',)|81|0.0150809905046|u'to',)|70|0.013032954757|u'in',)|69|0.0128467696891|u'said',)|64|0.0119158443493|1006|0.187302178365|439|3.56877076412|1.0|1|17.710351952|5371|
02 - nestor.txt|1-gram|t_lower_nopunct_w_pos|(u'the', 'DT'),)|267|0.0606267029973|(u'of', 'IN'),)|128|0.0290644868302|(u'and', 'CC'),)|121|0.0274750227066|(u'a', 'DT'),)|113|0.0256584922797|(u'his', 'PRP$'),)|81|0.0183923705722|(u'to', 'TO'),)|70|0.0158946412352|(u'in', 'IN'),)|69|0.0156675749319|(u'said', 'VBD'),)|64|0.0145322434151|(u'he', 'PRP'),)|62|0.0140781108084|(u'you', 'PRP'),)|50|0.011353315168|1201|0.272706630336|267|2.61986912552|1.0|1|9.64066147014|4404|
02 - nestor.txt|1-gram|t_lower_w_stem|u'.',)|439|0.0817352448334|u',',)|339|0.0631167380376|u'the',)|267|0.0497114131447|u'of',)|128|0.0238316886986|u'and',)|121|0.0225283932229|u'a',)|113|0.0210389126792|u'his',)|81|0.0150809905046|u'to',)|70|0.013032954757|u'in',)|69|0.0128467696891|u'said',)|64|0.0119158443493|818|0.152299385589|439|4.00820895522|1.0|1|18.7527691428|5371|
02 - nestor.txt|1-gram|t_raw_w_lengths|1,)|1070|0.199180938198|3,)|1020|0.189873417722|4,)|823|0.153201787044|2,)|761|0.141660461653|5,)|579|0.107781087118|6,)|365|0.0679448994788|7,)|349|0.0649664929263|8,)|194|0.036113179449|9,)|112|0.0208488458675|10,)|52|0.00967982129561|3|0.000558451228593|1070|335.75|153.0|1|377.671235998|5372|
02 - nestor.txt|1-gram|t_raw_w_stop_stem|u'.',)|440|0.119241192412|u',',)|339|0.0918699186992|u'said',)|64|0.0173441734417|u'i',)|56|0.0151761517615|u'?',)|52|0.0140921409214|u':',)|48|0.0130081300813|u"'s",)|46|0.0124661246612|u'stephen',)|44|0.0119241192412|u'mr',)|40|0.0108401084011|u'sir',)|40|0.0108401084011|828|0.224390243902|440|2.83627978478|1.0|1|15.9187050697|3690|
02 - nestor.txt|1-gram|t_lower_w_lengths|1,)|1069|0.199031837647|3,)|1020|0.189908769317|4,)|822|0.153044125861|2,)|761|0.141686836716|5,)|580|0.107987339415|6,)|365|0.0679575498045|7,)|349|0.0649785887172|8,)|194|0.0361199031838|9,)|112|0.0208527276112|10,)|52|0.00968162353379|3|0.000558555203873|1069|335.6875|153.0|1|377.509555963|5371|
02 - nestor.txt|1-gram|t_raw_w_|u'.',)|440|0.0819061801936|u',',)|339|0.063104988831|u'the',)|245|0.0456068503351|u'of',)|127|0.0236411020104|u'and',)|107|0.0199180938198|u'a',)|82|0.0152643335815|u'his',)|75|0.0139612807148|u'to',)|66|0.012285927029|u'said',)|64|0.01191362621|u'in',)|64|0.01191362621|1096|0.204020848846|440|3.31604938272|1.0|1|16.581936154|5372|
02 - nestor.txt|1-gram|t_raw_w_stem|u'.',)|440|0.0819061801936|u',',)|339|0.063104988831|u'the',)|267|0.0497021593448|u'of',)|128|0.02382725242|u'and',)|121|0.0225241995532|u'a',)|113|0.021034996277|u'his',)|81|0.015078183172|u'to',)|70|0.0130305286672|u'in',)|69|0.0128443782576|u'said',)|64|0.01191362621|818|0.152271034996|440|4.00895522388|1.0|1|18.7700915745|5372|
